teamNameFull,city,state,arena,conference,division,teamLocation,teamNameCommon,teamName3Char,teamColor,teamColor2,hashtag,teamNameFull-Short
Anaheim Ducks,Anaheim,CA,Honda Center,Western,Pacific,Anaheim,Ducks,ANA,#2C292A,#85714D,#NHLDucks,Anaheim Ducks (ANA)
Calgary Flames,Calgary,AB,Scotiabank Saddledome,Western,Pacific,Calgary,Flames,CGY,#C8102E,,#Flames,Calgary Flames (CGY)
Edmonton Oilers,Edmonton,AB,Rexall Place,Western,Pacific,Edmonton,Oilers,EDM,#041E42,#8B634B,#Oilers,Edmonton Oilers (EDM)
Los Angeles Kings,Los Angeles,CA,Staples Center,Western,Pacific,Los Angeles,Kings,LAK,#2C2A29,#818182,#LAKings,Los Angeles Kings (LAK)
Phoenix Coyotes,Glendale,AZ,Jobing.com Arena,Western,Pacific,Phoenix,Coyotes,PHX,#862633,,#Coyotes,Phoenix Coyotes (PHX)
San Jose Sharks,San Jose,CA,SAP Center at San Jose,Western,Pacific,San Jose,Sharks,SJS,#006272,,#Sharks,San Jose Sharks (SJS)
Vancouver Canucks,Vancouver,BC,Rogers Arena,Western,Pacific,Vancouver,Canucks,VAN,#00205B,,#Canucks,Vancouver Canucks (VAN)
Chicago Blackhawks,Chicago,IL,United Center,Western,Central,Chicago,Blackhawks,CHI,#C8102E,,#Blackhawks,Chicago Blackhawks (CHI)
Colorado Avalanche,Denver,CO,Pepsi Center,Western,Central,Colorado,Avalanche,COL,#6F263D,,#Avs,Colorado Avalanche (COL)
Dallas Stars,Dallas,TX,American Airlines Center,Western,Central,Dallas,Stars,DAL,#0C5939,,#DallasStars,Dallas Stars (DAL)
Minnesota Wild,St. Paul,MN,Xcel Energy Center,Western,Central,Minnesota,Wild,MIN,#154734,,#MNWild,Minnesota Wild (MIN)
Nashville Predators,Nashville,TN,Bridgestone Arena,Western,Central,Nashville,Predators,NSH,#041E42,#FFB81C,#Preds,Nashville Predators (NSH)
St. Louis Blues,St. Louis,MO,Scottrade Center,Western,Central,St. Louis,Blues,STL,#003087,,#STLBlues,St. Louis Blues (STL)
Winnipeg Jets,Winnipeg,MB,MTS Centre,Western,Central,Winnipeg,Jets,WPG,#041E42,,#NHLJets,Winnipeg Jets (WPG)
Boston Bruins,Boston,MA,TD Garden,Eastern,Atlantic,Boston,Bruins,BOS,#2C2A29,#FFB81C,#Bruins,Boston Bruins (BOS)
Buffalo Sabres,Buffalo,NY,First Niagara Center,Eastern,Atlantic,Buffalo,Sabres,BUF,#041E42,#FFB81C,#Sabres,Buffalo Sabres (BUF)
Detroit Red Wings,Detroit,MI,Joe Louis Arena,Eastern,Atlantic,Detroit,Red Wings,DET,#C8102E,,#RedWings,Detroit Red Wings (DET)
Florida Panthers,Sunrise,FL,BB&T Center,Eastern,Atlantic,Florida,Panthers,FLA,#C8102E,#041E42,#FLAPanthers,Florida Panthers (FLA)
Montreal Canadiens,Montreal,QC,Bell Centre,Eastern,Atlantic,Montreal,Canadiens,MTL,#A6192E,#001E62,#Habs,Montreal Canadiens (MTL)
Ottawa Senators,Ottawa,ON,Canadian Tire Centre,Eastern,Atlantic,Ottawa,Senators,OTT,#C8102E,,#Sens,Ottawa Senators (OTT)
Tampa Bay Lightning,Tampa,FL,Tampa Bay Times Forum,Eastern,Atlantic,Tampa Bay,Lightning,TBL,#00205B,,#TBLightning,Tampa Bay Lightning (TBL)
Toronto Maple Leafs,Toronto,ON,Air Canada Centre,Eastern,Atlantic,Toronto,Maple Leafs,TOR,#00205B,,#Leafs,Toronto Maple Leafs (TOR)
Carolina Hurricanes,Raleigh,NC,PNC Arena,Eastern,Metropolitan,Carolina,Hurricanes,CAR,#C8102E,,#Hurricanes,Carolina Hurricanes (CAR)
Columbus Blue Jackets,Columbus,OH,Nationwide Arena,Eastern,Metropolitan,Columbus,Blue Jackets,CBJ,#041E42,,#CBJ,Columbus Blue Jackets (CBJ)
New Jersey Devils,Newark,NJ,Prudential Center,Eastern,Metropolitan,New Jersey,Devils,NJD,#C8102E,,#Devils,New Jersey Devils (NJD)
New York Islanders,Uniondale,NY,Nassau Veterans Memorial Coliseum,Eastern,Metropolitan,New York,Islanders,NYI,#003087,#FC4C02,#Isles,New York Islanders (NYI)
New York Rangers,New York City,NY,Madison Square Garden,Eastern,Metropolitan,New York,Rangers,NYR,#0033A0,,#NYR,New York Rangers (NYR)
Philadelphia Flyers,Philadelphia,PA,Wells Fargo Center,Eastern,Metropolitan,Philadelphia,Flyers,PHI,#FA4616,,#Flyers,Philadelphia Flyers (PHI)
Pittsburgh Penguins,Pittsburgh,PA,Consol Energy Center,Eastern,Metropolitan,Pittsburgh,Penguins,PIT,#2C2A29,#CFC493,#Pens,Pittsburgh Penguins (PIT)
Washington Capitals,Washington,DC,Verizon Center,Eastern,Metropolitan,Washington,Capitals,WSH,#C8102E,#041E42,#Caps,Washington Capitals (WSH)
